method,horizon_trading_days,n,mean,median,p25,p75
IQR,1,199,0.0028625047863081606,0.0008710801393729817,-0.0029851071487504433,0.005928853754940677
IQR,5,199,0.005839341015789147,0.002485707183693897,-0.009959327419201858,0.01827739587545474
IQR,20,64,-0.012662882542951538,0.00016218983946980625,-0.042007374607411746,0.025279065857917782
Pre-Event,1,211,0.003425828617237691,0.00401606425702794,-0.01829336307863927,0.020646020646020613
Pre-Event,5,211,-0.005442294744055486,-0.008081667375584911,-0.068850380388842,0.05727682417655233
Pre-Event,20,70,-0.013325147655074313,-0.024738067520372553,-0.10156782549420584,0.0479043535732504
Z-Score,1,199,0.0028625047863081606,0.0008710801393729817,-0.0029851071487504433,0.005928853754940677
Z-Score,5,199,0.005839341015789147,0.002485707183693897,-0.009959327419201858,0.01827739587545474
Z-Score,20,64,-0.012662882542951538,0.00016218983946980625,-0.042007374607411746,0.025279065857917782
